Sources									
Session	Source	R.A.	Dec.	Vlsr					
Barnard1-Main	Barnard1-Main	03:32:55.0	+31:04:33.0	6.6	25A				
Barnard1-South	Barnard1-South	3:31:19.5	+30:45:19.60	7.1	25A				
HC2-TMC1C	HC2-TMC1C	4:41:33.1	+26:01:13.60	5.2	25A			25A / Spring	4 - 22
CrA-East	CrA-East	19:10:18.3	-37:08:15.5	5.7	25A			26A / Summer	13 - 3
Cep-L1228	Cep-L1228	20:57:16.2	77:36:04.0	-8.2	all				
B59	B59	17:11:20.5	-27:26:32.5	3.5	25A				
B18-A	B18-A	4:35:36.8	24:09:15.0	5.6	25A				
B18-B	B18-B	4:32:46.6	24:24:12.5	6	25A				
B18-C	B18-C	4:31:55.8	24:32:32.1	5.2	25A				
B18-D	B18-D	4:29:24.0	24:34:57.0	6.2	25A				
L1495-A	L1495-A	4:18:33.3	28:28:01.3	6.2	25A				
L1495-B	L1495-B	4:18:05.2	28:06:18.6	6.2	25A				
L1495-C	L1495-C	4:19:46.8	27:12:50.5	6.2	25A				
L1495-D	L1495-D	4:21:21.2	26:59:52.8	6.2	25A				
L1495-E	L1495-E	4:27:48.1	26:17:51.3	6.2	25A				
L1495-F	L1495-F	4:28:09.5	26:20:40.7	6.2	25A				
IC348-Main	IC348-Main	3:43:52.3	32:01:59.4	8.8	25A				
IC348-SE	IC348-SE	3:44:20.0	31:58:55.6	9.2	25A				
Cep-L1251-A	Cep-L1251-A	22:38:39.3	75:11:11.7	-3.7	all				
Cep-L1251-B	Cep-L1251-B	22:30:28.2	75:13:37.7	-3.7	all				
CrA-West-A	CrA-West-A	19:01:51.6	-36:57:42.2	5.7	25A				
CrA-West-B	CrA-West-B	19:01:44.5	-36:55:32.1	5.7	25A				
L1448	L1448	3:25:34.5	30:44:43.0	4.5	25A				
L1455	L1455	3:27:46.2	30:12:00.6	4.9	25A				
L1688-A	L1688-A	16:28:21.7	-24:36:19.1	4.1	25A				
L1688-B	L1688-B	16:27:25.1	-24:40:52.8	4.1	25A				
L1688-C	L1688-C	16:21:18.8	-24:27:39.0	3.8	25A				
L1688-D	L1688-D	16:27:00.0	-24:34:30.6	3.8	25A				
L1688-E	L1688-E	16:26:57.5	-24:31:35.7	3.7	25A				
L1689-A	L1689-A	16:32:26.4	-24:28:53.2	3.7	25A				
L1689-B	L1689-B	16:31:58.6	-24:57:48.9	4.3	25A				
L1689-C	L1689-C	16:31:40.8	-24:49:53.9	4.4	25A				
Serpens-MWC297	Serpens-MWC297	18:28:08.6	-3:47:25.6	7	25A	Summer			
OrionB-N2023-A	OrionB-N2023-A	5:41:43.9	-1:55:14.1	10.5	25A				
OrionB-N2023-B	OrionB-N2023-B	5:41:31.2	-2:17:58.0	9.6	25A				
