Baseband	SamplerBits	SubbandID	LowFreq_MHz	HighFreq_MHz	Bandwidth_MHz	Channels	ChannelWidth_kHz	Polarization	RecircFactor	LineComment
A0/C0	8	0	473.2429	481.2429	8.0000	1024	7.8125	Dual	8	NH3(1,1) - 23.6944955GHz
A0/C0	8	1	504.3768	506.3768	2.0000	256	7.8125	Dual	2	NH3(2,2) - 23.7226333GHz
A0/C0	8	2	651.8525	653.8525	2.0000	256	7.8125	Dual	2	NH3(3,3) - 23.8701292GHz
A0/C0	8	3	921.1026	923.1026	2.0000	256	7.8125	Dual	2	NH3(4,4) - 24.1394163GHz
A0/C0	8	4	196.0388	198.0388	2.0000	256	7.8125	Dual	2	SO2_1 - 23.414253GHz
A0/C0	8	5	745.6072	747.6072	2.0000	256	7.8125	Dual	2	HC5N_9 - 23.9638968GHz
A0/C0	8	6	128.6741	130.6741	2.0000	256	7.8125	Dual	2	CH3OH_2 - 23.346879GHz
A0/C0	8	7	865.1490	867.1490	2.0000	256	7.8125	Dual	2	SO2_2 - 24.083455GHz
A0/C0	8	8	514.7321	516.7321	2.0000	256	7.8125	Dual	2	34SO2 - 23.73299GHz
B1/D1	3	0	1351.9825	1353.9825	2.0000	256	7.8125	Dual	2	HNCO - 21.982GHz
B1/D1	3	1	1713.9658	1715.9658	2.0000	256	7.8125	Dual	2	CCS_1 - 22.344033GHz
B1/D1	3	2	671.3327	673.3327	2.0000	256	7.8125	Dual	2	HC5N_8 - 21.3012568GHz
B1/D1	3	3	957.4374	959.4374	2.0000	256	7.8125	Dual	2	C3H2_2 - 21.5874008GHz
B1/D1	3	4	0.0000	128.0000	128.0000	64	2000.0000	Full	1	
B1/D1	3	5	128.0000	256.0000	128.0000	64	2000.0000	Full	1	
B1/D1	3	6	256.0000	384.0000	128.0000	64	2000.0000	Full	1	
B1/D1	3	7	384.0000	512.0000	128.0000	64	2000.0000	Full	1	
B1/D1	3	8	512.0000	640.0000	128.0000	64	2000.0000	Full	1	
B1/D1	3	9	640.0000	768.0000	128.0000	64	2000.0000	Full	1	
B1/D1	3	10	768.0000	896.0000	128.0000	64	2000.0000	Full	1	
B1/D1	3	11	896.0000	1024.0000	128.0000	64	2000.0000	Full	1	
B1/D1	3	12	1024.0000	1152.0000	128.0000	64	2000.0000	Full	1	
B1/D1	3	13	1152.0000	1280.0000	128.0000	64	2000.0000	Full	1	
B1/D1	3	14	1280.0000	1408.0000	128.0000	64	2000.0000	Full	1	
B1/D1	3	15	1408.0000	1536.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	0	144.7022	146.7022	2.0000	256	7.8125	Dual	2	HC3N_2 - 18.1962GHz
B2/D2	3	1	587.0528	589.0528	2.0000	256	7.8125	Dual	2	HC5N_7 - 18.6386114GHz
B2/D2	3	2	291.6250	293.6250	2.0000	256	7.8125	Dual	2	C3H2_1 - 18.343143GHz
B2/D2	3	3	0.0000	128.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	4	128.0000	256.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	5	256.0000	384.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	6	384.0000	512.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	7	512.0000	640.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	8	640.0000	768.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	9	768.0000	896.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	10	896.0000	1024.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	11	1024.0000	1152.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	12	1152.0000	1280.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	13	1280.0000	1408.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	14	1408.0000	1536.0000	128.0000	64	2000.0000	Full	1	
B2/D2	3	15	1536.0000	1664.0000	128.0000	64	2000.0000	Full	1	
