Semester,Archive File,Project,Instrument,Source,Observation Start,Observation Stop,File Size,Array Config,Bands,Number of Antennas,Type,Scans
26A,26A-517.sb51050327.eb51180015.61288.31844270833,26A-517,EVLA,IC348-Main,2026-09-05 07:38:34,2026-09-05 10:39:47,359.687 GB,D,K,26,visibility,276
26A,26A-517.sb51080058.eb51179506.61287.35318327547,26A-517,EVLA,L1495-C,2026-09-04 08:28:35,2026-09-04 11:12:57,333.067 GB,D,K,26,visibility,174
26A,26A-517.sb51062367.eb51179135.61286.54010864583,26A-517,EVLA,L1495-F,2026-09-03 12:57:46,2026-09-03 14:44:48,202.465 GB,D,K,26,visibility,68
26A,26A-517.sb51174165.eb51179125.61286.2196699537,26A-517,EVLA,L1251-B,2026-09-03 05:16:20,2026-09-03 08:01:58,333.863 GB,D,K,26,visibility,99
26A,26A-517.sb51174165.eb51176713.61285.16737030093,26A-517,EVLA,L1251-B,2026-09-02 04:03:02,2026-09-02 06:48:44,359.850 GB,D,K,27,visibility,99
26A,26A-517.sb51049579.eb51170534.61281.52464027778,26A-517,EVLA,L1448,2026-08-29 12:39:31,2026-08-29 16:00:43,376.949 GB,D,K,25,visibility,316
26A,26A-517.sb51080058.eb51156015.61279.37201719907,26A-517,EVLA,L1495-C,2026-08-27 08:56:00,2026-08-27 11:40:22,307.874 GB,D,K,25,visibility,174
26A,26A-517.sb51076362.eb51144155.61277.36553201389,26A-517,EVLA,L1455,2026-08-25 08:47:14,2026-08-25 11:35:43,304.383 GB,D,K,25,visibility,244
26A,26A-517.sb51062367.eb51141893.61276.61961190972,26A-517,EVLA,L1495-F,2026-08-24 14:52:15,2026-08-24 16:39:15,202.473 GB,D,K,26,visibility,68
26A,26A-517.sb51112127.eb51137496.61273.21201679399,26A-517,EVLA,L1228,2026-08-21 05:05:18,2026-08-21 07:48:02,314.769 GB,D,K,26,visibility,115
26A,26A-517.sb51112127.eb51125593.61270.25166098379,26A-517,EVLA,L1228,2026-08-18 06:02:24,2026-08-18 08:45:07,291.189 GB,D,K,25,visibility,115
26A,26A-517.sb51078485.eb51101663.61258.361724270835,26A-517,EVLA,IC348-SE,2026-08-06 08:40:53,2026-08-06 11:00:55,280.616 GB,D,K,26,visibility,96
26A,26A-517.sb51078485.eb51081767.61246.40015528935,26A-517,EVLA,IC348-SE,2026-07-25 09:36:14,2026-07-25 11:56:14,259.958 GB,D,K,26,visibility,96
26A,26A-517.sb51071496.eb51075682.61244.410701597226,26A-517,EVLA,L1455,2026-07-23 09:51:25,2026-07-23 12:39:52,304.873 GB,D,K,25,visibility,244
